,title,href,company,requirement,salary
0,Разработчик Python,https://hh.ru/vacancy/30451399?query=Python, Открытые Технологии,"Знание языка Python (версия 2 и 3). Опыт работы с фреймворками: Tornado (async), Flask, Bottle. Опыт написания SQL запросов. ",150000.0
1,Разработчик Python,https://hh.ru/vacancy/31067847?query=Python,ООО Коннектом,Инициативность и целеустремленность. Хорошее знание Python (или опыт на другом стеке с желанием выучить Python). Понимание и практический опыт в...,160000.0
2,Python / Django developer,https://hh.ru/vacancy/30226206?query=Python, NetworkOptix,Bachelor or master degree in STEM field. Expert working knowledge of Python and Django framework. Hands-on experience with SQL. ,4000.0
3,Data Engineering Team Lead (Python / C++),https://hh.ru/vacancy/31078426?query=Python, DataFork,Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. ,350000.0
4,Программист Python,https://hh.ru/vacancy/30109493?query=Python, Star-staff,Коммерческий опыт на Python минимум 2-3 года. Опыт с Python 3+. Хороший навык работы с различными БД (SQL...,145000.0
5,Разработчик Python,https://hh.ru/vacancy/30424698?query=Python,ООО ВижнЛабс (VisionLabs),Необходимый опыт и знания: - Широкий опыт разработки на Python (3.x) от 2х лет. - Глубокое знание одного или нескольких...,120000.0
6,Программист Python,https://hh.ru/vacancy/30405924?query=Python,ООО ВойсЛинк,Опыт коммерческой разработки на Python от 2-х лет. Умение проверять свой код. Опыт работы с реляционными базами данных. ,120000.0
7,Python Developer,https://hh.ru/vacancy/30618448?query=Python, LLC ICONIC,"Опыт разработки на Python не менее 3 лет, разработки на >=Python 3.6. Навык работы с SQLAlchemy. Навык работы PostgreSQL. ",200000.0
8,Python/Django developer,https://hh.ru/vacancy/30630823?query=Python,ООО Мэйнс Лаборатория,опыт организации асинхронных API на Celery (Python) + Redis/RabbitMQ. - опыт/знакомство с ReactJS. - знакомство с Node.js. - понимание принципов тестирования...,112500.0
9,Team Lead Python,https://hh.ru/vacancy/30619925?query=Python,ООО СофтПро,"Любопытство и жажда знаний. Доброжелательность, умение слушать и убеждать. Зрелость. Что нужно будет делать: Строить и реализовывать микросервисную архитектуру (платформа...",300000.0
10,Python разработчик ‍‍,https://hh.ru/vacancy/30934506?query=Python,ООО АппФоллоу,"Python-разработчик, найдись! Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. ",105000.0
11,Python Developer,https://hh.ru/vacancy/30685344?query=Python,ООО Когнитивные системы,"Знание Python на уровне Middle. Опыт работы в Linux, Git, Jupyter notebook. Опыт работы от 2-х лет на Python...",100000.0
12,Senior python developer,https://hh.ru/vacancy/30724017?query=Python,ООО Хантфлоу,,180000.0
13,Python разработчик,https://hh.ru/vacancy/30948610?query=Python,ООО КРИПТОН,"Опыт работы: Python(Flask, BeautifulSoup, Splash, Selenium), Elasticsearch, PostgreSQL, Web Анализ, Parsing, Web Scraping, GitHub, HTML.",120000.0
